ds,y_pred,y_true,error,perc_error
2025-02-10,112.32,111.9,0.42,0.38
2025-02-11,112.48,111.58,0.9,0.01
2025-02-14,112.49,110.855,1.63,0.01
2025-02-15,,,,
2025-02-16,,,,
2025-02-17,112.71,111.32,1.39,0.01
2025-02-18,112.69,111.38,1.31,0.01
2025-02-19,112.67,112.105,0.56,0.0
2025-02-20,112.69,110.79,1.9,0.02
2025-02-21,112.56,110.83,1.73,0.02
2025-02-22,,,,
2025-02-23,,,,
2025-02-24,112.35,109.39,2.96,0.03
2025-02-25,112.25,107.365,4.89,0.05
2025-02-26,112.15,108.81,3.34,0.03
2025-02-27,111.51,109.14,2.37,0.02
2025-02-28,111.28,107.765,3.52,0.03
2025-03-01,,,,
2025-03-02,,,,
