ds,y_pred,y_true,error,perc_error
2025-03-10,111.65,99.374,12.28,0.12
2025-03-11,111.73,97.316,14.41,0.15
2025-03-12,111.67,98.126,13.54,0.14
2025-03-14,111.86,98.462,13.4,0.14
2025-03-15,,,,
2025-03-16,,,,
2025-03-17,112.0,98.578,13.42,0.14
2025-03-18,112.21,97.938,14.27,0.15
2025-03-19,112.4,99.166,13.23,0.13
2025-03-20,112.52,99.73,12.79,0.13
2025-03-21,112.7,99.424,13.28,0.13
2025-03-22,,,,
2025-03-23,,,,
2025-03-24,113.05,101.68,11.37,0.11
2025-03-25,113.28,101.745,11.53,0.11
2025-03-26,113.44,101.335,12.11,0.12
2025-03-27,113.19,100.8,12.39,0.12
2025-03-28,113.23,98.452,14.78,0.15
2025-03-29,,,,
2025-03-30,,,,
2025-03-31,113.71,97.986,15.72,0.16
2025-04-01,113.48,99.304,14.18,0.14
2025-04-02,113.66,99.316,14.34,0.14
2025-04-03,113.45,93.814,19.64,0.21
2025-04-04,113.16,89.862,23.3,0.26
2025-04-05,,,,
2025-04-06,,,,
2025-04-07,,,,
2025-04-08,113.19,90.516,22.67,0.25
2025-04-09,112.67,85.954,26.72,0.31
2025-04-10,112.58,89.364,23.22,0.26
2025-04-11,112.26,88.364,23.9,0.27
2025-04-12,,,,
2025-04-13,,,,
2025-04-14,111.61,90.802,20.81,0.23
2025-04-15,111.4,91.56,19.84,0.22
2025-04-16,,,,
2025-04-17,111.03,88.738,22.29,0.25
2025-04-18,,,,
2025-04-19,,,,
2025-04-20,,,,
2025-04-21,,,,
2025-04-22,110.33,87.52,22.81,0.26
2025-04-23,,,,
2025-04-24,110.34,91.482,18.86,0.21
2025-04-25,110.26,91.914,18.35,0.2
2025-04-26,,,,
2025-04-27,,,,
2025-04-28,,,,
2025-04-29,109.8,92.592,17.21,0.19
2025-04-30,109.7,92.836,16.86,0.18
2025-05-01,109.3,94.37378223,14.93,0.16
2025-05-02,109.23,95.46,13.77,0.14
2025-05-03,,,,
2025-05-04,,,,
