Date,Market price (EUR)
13 Feb 2025,111.0050
12 Feb 2025,110.7300
11 Feb 2025,111.5800
10 Feb 2025,111.9000
07 Feb 2025,111.2400
06 Feb 2025,111.4450
05 Feb 2025,110.1900
04 Feb 2025,110.7600
03 Feb 2025,110.8350
31 Jan 2025,111.8400
30 Jan 2025,110.3300
29 Jan 2025,110.4750
28 Jan 2025,110.1150
27 Jan 2025,108.4800
24 Jan 2025,110.7650
23 Jan 2025,111.4350
22 Jan 2025,111.3650
21 Jan 2025,110.2000
20 Jan 2025,110.2400
17 Jan 2025,110.9450
16 Jan 2025,109.8700
15 Jan 2025,109.6950
14 Jan 2025,107.8300
13 Jan 2025,108.0600
10 Jan 2025,108.1650
09 Jan 2025,109.2850
08 Jan 2025,109.1250
07 Jan 2025,109.0150
06 Jan 2025,110.0200
03 Jan 2025,109.5000
02 Jan 2025,109.5150
31 Dec 2024,107.7500
30 Dec 2024,107.7500
27 Dec 2024,108.9100
26 Dec 2024,108.4450
24 Dec 2024,108.4450
23 Dec 2024,108.4450
20 Dec 2024,108.7350
19 Dec 2024,108.2400
18 Dec 2024,110.0850
17 Dec 2024,109.6600
16 Dec 2024,109.9400
13 Dec 2024,109.6500
12 Dec 2024,110.0450
11 Dec 2024,110.2000
10 Dec 2024,109.5900
09 Dec 2024,109.0600
06 Dec 2024,109.5450
05 Dec 2024,109.4400
04 Dec 2024,109.6100
03 Dec 2024,109.2450
02 Dec 2024,109.5100
29 Nov 2024,108.6600
28 Nov 2024,108.3250
27 Nov 2024,107.8450
26 Nov 2024,108.9800
25 Nov 2024,108.4900
22 Nov 2024,108.8300
21 Nov 2024,107.5750
20 Nov 2024,106.1350
19 Nov 2024,106.0550
18 Nov 2024,106.1200
15 Nov 2024,105.8550
14 Nov 2024,107.4350
13 Nov 2024,107.7250
12 Nov 2024,107.2050
11 Nov 2024,107.1750
08 Nov 2024,106.1200
07 Nov 2024,104.9700
06 Nov 2024,104.4300
05 Nov 2024,100.3200
04 Nov 2024,99.7560
01 Nov 2024,100.7700
31 Oct 2024,100.1850
30 Oct 2024,102.1150
